Symbol: ATO Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,146.0,$6.83,9/26/86,,$0.00,146.0,
2,keepbusy_cross(SELL),Sell to Close,-146.0,$6.89,12/8/86,$8.37,$8.37,0.0,
3,keepbusy_cross(Buy),Buy to Open,155.0,$6.44,8/14/87,,$0.29,155.0,
4,keepbusy_cross(SELL),Sell to Close,-155.0,$6.20,9/3/87,($36.70),($28.33),0.0,
5,keepbusy_cross(Buy),Buy to Open,65.0,$15.17,12/18/92,,($6.67),65.0,
6,keepbusy_cross(SELL),Sell to Close,-65.0,$19.92,11/15/93,$309.20,$280.86,0.0,
7,keepbusy_cross(Buy),Buy to Open,42.0,$23.50,2/7/97,,$301.86,42.0,
8,keepbusy_cross(SELL),Sell to Close,-42.0,$23.27,2/19/97,($9.74),$271.12,0.0,
9,keepbusy_cross(Buy),Buy to Open,41.0,$24.00,6/29/01,,$289.98,41.0,
10,keepbusy_cross(SELL),Sell to Close,-41.0,$23.05,7/10/01,($38.97),$232.16,0.0,
11,keepbusy_cross(Buy),Buy to Open,39.0,$25.46,1/26/04,,$237.23,39.0,
12,keepbusy_cross(SELL),Sell to Close,-39.0,$25.21,3/25/04,($9.79),$222.37,0.0,
13,keepbusy_cross(Buy),Buy to Open,39.0,$25.35,9/3/04,,$218.47,39.0,
14,keepbusy_cross(SELL),Sell to Close,-39.0,$24.93,9/23/04,($16.53),$205.83,0.0,
15,keepbusy_cross(Buy),Buy to Open,33.0,$29.56,9/2/05,,$199.89,33.0,
16,keepbusy_cross(SELL),Sell to Close,-33.0,$28.60,9/22/05,($31.76),$174.07,0.0,
17,keepbusy_cross(Buy),Buy to Open,10.0,$95.39,10/19/18,,$190.87,10.0,
18,keepbusy_cross(SELL),Sell to Close,-10.0,$92.43,11/5/18,($29.59),$144.48,0.0,
19,keepbusy_cross(Buy),Buy to Open,9.0,$104.22,6/7/19,,$144.39,9.0,
20,keepbusy_cross(SELL),Sell to Close,-9.0,$109.54,11/5/19,$47.85,$192.33,0.0,
21,keepbusy_cross(Buy),Buy to Open,8.0,$115.59,3/8/24,,$194.17,8.0,
22,keepbusy_cross(SELL),Sell to Close,-8.0,$114.66,4/11/24,($7.44),$184.89,0.0,
23,keepbusy_cross(Buy),Buy to Open,8.0,$119.87,7/12/24,,$193.45,8.0,
24,keepbusy_cross(SELL),Sell to Close,-8.0,$137.97,12/19/24,$144.79,$329.68,0.0,
