Symbol: BIL Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,10.0,$91.74,5/6/11,,$0.00,10.0,
2,keepbusy_cross(SELL),Sell to Close,-10.0,$91.70,5/19/11,($0.40),($0.40),0.0,
3,keepbusy_cross(Buy),Buy to Open,10.0,$91.44,9/2/16,,($0.20),10.0,
4,keepbusy_cross(SELL),Sell to Close,-10.0,$91.44,11/14/16,($0.03),($0.43),0.0,
5,keepbusy_cross(Buy),Buy to Open,10.0,$91.46,5/19/17,,($0.63),10.0,
6,keepbusy_cross(SELL),Sell to Close,-10.0,$91.40,6/2/17,($0.60),($1.03),0.0,
7,keepbusy_cross(Buy),Buy to Open,10.0,$91.48,8/25/17,,($1.23),10.0,
8,keepbusy_cross(SELL),Sell to Close,-10.0,$91.44,9/5/17,($0.40),($1.43),0.0,
9,keepbusy_cross(Buy),Buy to Open,10.0,$91.48,9/22/17,,($1.43),10.0,
10,keepbusy_cross(SELL),Sell to Close,-10.0,$91.44,10/3/17,($0.40),($1.83),0.0,
11,keepbusy_cross(Buy),Buy to Open,10.0,$91.51,5/18/18,,($1.73),10.0,
12,keepbusy_cross(SELL),Sell to Close,-10.0,$91.45,6/4/18,($0.60),($2.43),0.0,
13,keepbusy_cross(Buy),Buy to Open,10.0,$91.53,7/20/18,,($2.33),10.0,
14,keepbusy_cross(SELL),Sell to Close,-10.0,$91.44,8/2/18,($0.90),($3.33),0.0,
15,keepbusy_cross(Buy),Buy to Open,10.0,$91.59,12/16/22,,($3.33),10.0,
16,keepbusy_cross(SELL),Sell to Close,-10.0,$91.34,12/20/22,($2.50),($5.83),0.0,
17,keepbusy_cross(Buy),Buy to Open,10.0,$91.61,2/17/23,,($5.73),10.0,
18,keepbusy_cross(SELL),Sell to Close,-10.0,$91.47,3/2/23,($1.40),($7.23),0.0,
19,keepbusy_cross(Buy),Buy to Open,10.0,$91.61,2/16/24,,($7.03),10.0,
20,keepbusy_cross(SELL),Sell to Close,-10.0,$91.44,3/4/24,($1.70),($8.93),0.0,
21,keepbusy_cross(Buy),Buy to Open,10.0,$91.64,5/17/24,,($8.83),10.0,
22,keepbusy_cross(SELL),Sell to Close,-10.0,$91.45,6/4/24,($1.91),($10.84),0.0,
