Symbol: CCEP Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,47.0,$20.86,2/16/07,,($7.05),47.0,
2,keepbusy_cross(SELL),Sell to Close,-47.0,$20.61,2/20/07,($11.63),($11.63),0.0,
3,keepbusy_cross(Buy),Buy to Open,34.0,$29.09,7/27/12,,$9.11,34.0,
4,keepbusy_cross(SELL),Sell to Close,-34.0,$29.83,11/15/12,$25.21,$13.58,0.0,
5,keepbusy_cross(Buy),Buy to Open,25.0,$38.81,9/9/13,,$32.58,25.0,
6,keepbusy_cross(SELL),Sell to Close,-25.0,$44.73,4/16/14,$147.95,$161.53,0.0,
7,keepbusy_cross(Buy),Buy to Open,24.0,$41.07,3/9/18,,$157.45,24.0,
8,keepbusy_cross(SELL),Sell to Close,-24.0,$39.71,4/26/18,($32.72),$128.81,0.0,
9,keepbusy_cross(Buy),Buy to Open,15.0,$64.02,12/8/23,,$119.66,15.0,
10,keepbusy_cross(SELL),Sell to Close,-15.0,$67.18,4/16/24,$47.39,$176.20,0.0,
