Symbol: CHRW Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,52.0,$19.19,10/3/03,,$16.12,52.0,
2,keepbusy_cross(SELL),Sell to Close,-52.0,$19.15,11/20/03,($2.16),($2.16),0.0,
3,keepbusy_cross(Buy),Buy to Open,48.0,$20.52,3/26/04,,($10.32),48.0,
4,keepbusy_cross(SELL),Sell to Close,-48.0,$19.93,5/13/04,($28.33),($30.49),0.0,
5,keepbusy_cross(Buy),Buy to Open,14.0,$69.36,12/23/11,,($21.25),14.0,
6,keepbusy_cross(SELL),Sell to Close,-14.0,$67.71,1/6/12,($23.10),($53.59),0.0,
7,keepbusy_cross(Buy),Buy to Open,13.0,$72.80,11/11/16,,($43.45),13.0,
8,keepbusy_cross(SELL),Sell to Close,-13.0,$76.11,4/7/17,$43.04,($10.54),0.0,
9,keepbusy_cross(Buy),Buy to Open,11.0,$89.23,4/5/19,,($8.01),11.0,
10,keepbusy_cross(SELL),Sell to Close,-11.0,$87.72,4/17/19,($16.61),($27.15),0.0,
11,keepbusy_cross(Buy),Buy to Open,9.0,$104.02,3/18/22,,($19.14),9.0,
12,keepbusy_cross(SELL),Sell to Close,-9.0,$100.84,4/5/22,($28.63),($55.78),0.0,
13,keepbusy_cross(Buy),Buy to Open,9.0,$107.61,5/27/22,,($57.22),9.0,
14,keepbusy_cross(SELL),Sell to Close,-9.0,$102.58,6/10/22,($45.31),($101.09),0.0,
15,keepbusy_cross(Buy),Buy to Open,10.0,$98.56,7/21/23,,($100.69),10.0,
16,keepbusy_cross(SELL),Sell to Close,-10.0,$96.86,8/4/23,($17.05),($118.14),0.0,
17,keepbusy_cross(Buy),Buy to Open,12.0,$80.93,5/3/24,,($114.90),12.0,
18,keepbusy_cross(SELL),Sell to Close,-12.0,$105.27,12/20/24,$292.11,$173.97,0.0,
