Symbol: CINF Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,54.0,$18.37,9/13/93,,($4.08),54.0,
2,keepbusy_cross(SELL),Sell to Close,-54.0,$17.67,9/16/93,($37.81),($37.81),0.0,
3,keepbusy_cross(Buy),Buy to Open,26.0,$38.45,1/16/04,,($28.38),26.0,
4,keepbusy_cross(SELL),Sell to Close,-26.0,$38.41,3/25/04,($1.04),($38.85),0.0,
5,keepbusy_cross(Buy),Buy to Open,24.0,$41.37,10/28/05,,($21.09),24.0,
6,keepbusy_cross(SELL),Sell to Close,-24.0,$43.62,2/10/06,$54.06,$15.21,0.0,
7,keepbusy_cross(Buy),Buy to Open,20.0,$47.86,9/15/06,,$26.81,20.0,
8,keepbusy_cross(SELL),Sell to Close,-20.0,$47.16,10/25/06,($13.96),$1.24,0.0,
9,keepbusy_cross(Buy),Buy to Open,38.0,$26.19,12/28/09,,$0.86,38.0,
10,keepbusy_cross(SELL),Sell to Close,-38.0,$25.99,2/8/10,($7.76),($6.51),0.0,
11,keepbusy_cross(Buy),Buy to Open,20.0,$48.30,10/24/14,,$2.29,20.0,
12,keepbusy_cross(SELL),Sell to Close,-20.0,$52.28,4/22/15,$79.53,$73.02,0.0,
13,keepbusy_cross(Buy),Buy to Open,13.0,$76.19,2/16/18,,$86.02,13.0,
14,keepbusy_cross(SELL),Sell to Close,-13.0,$74.49,3/2/18,($22.14),$50.88,0.0,
