Symbol: FR Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,37.0,$26.94,3/17/00,,$37.00,37.0,
2,keepbusy_cross(SELL),Sell to Close,-37.0,$26.48,4/5/00,($17.09),($17.09),0.0,
3,keepbusy_cross(Buy),Buy to Open,24.0,$40.24,11/29/04,,($23.09),24.0,
4,keepbusy_cross(SELL),Sell to Close,-24.0,$39.34,1/6/05,($21.67),($38.76),0.0,
5,keepbusy_cross(Buy),Buy to Open,25.0,$39.94,7/28/06,,($24.76),25.0,
6,keepbusy_cross(SELL),Sell to Close,-25.0,$45.66,1/9/07,$142.90,$104.14,0.0,
7,keepbusy_cross(Buy),Buy to Open,30.0,$32.99,8/17/18,,$117.94,30.0,
8,keepbusy_cross(SELL),Sell to Close,-30.0,$31.99,8/23/18,($29.98),$74.15,0.0,
9,keepbusy_cross(Buy),Buy to Open,31.0,$31.88,12/10/18,,$66.71,31.0,
10,keepbusy_cross(SELL),Sell to Close,-31.0,$31.72,12/11/18,($4.97),$69.18,0.0,
11,keepbusy_cross(Buy),Buy to Open,19.0,$52.49,4/21/23,,$72.98,19.0,
12,keepbusy_cross(SELL),Sell to Close,-19.0,$51.41,4/26/23,($20.57),$48.61,0.0,
