Symbol: IDA Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,42.0,$23.38,2/27/89,,$0.00,42.0,
2,keepbusy_cross(SELL),Sell to Close,-42.0,$22.76,3/22/89,($25.93),($25.93),0.0,
3,keepbusy_cross(Buy),Buy to Open,37.0,$26.50,7/10/92,,($25.93),37.0,
4,keepbusy_cross(SELL),Sell to Close,-37.0,$25.75,7/21/92,($27.61),($53.55),0.0,
5,keepbusy_cross(Buy),Buy to Open,31.0,$31.38,6/13/97,,($65.17),31.0,
6,keepbusy_cross(SELL),Sell to Close,-31.0,$31.01,9/9/97,($11.20),($64.74),0.0,
7,keepbusy_cross(Buy),Buy to Open,25.0,$39.49,12/21/01,,($62.24),25.0,
8,keepbusy_cross(SELL),Sell to Close,-25.0,$38.02,1/30/02,($36.64),($101.38),0.0,
9,keepbusy_cross(Buy),Buy to Open,18.0,$53.80,2/14/14,,($93.64),18.0,
10,keepbusy_cross(SELL),Sell to Close,-18.0,$53.98,5/14/14,$3.16,($98.22),0.0,
11,keepbusy_cross(Buy),Buy to Open,12.0,$79.43,2/10/17,,($91.14),12.0,
12,keepbusy_cross(SELL),Sell to Close,-12.0,$84.30,7/6/17,$58.50,($39.73),0.0,
