Symbol: IWV Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,16.0,$60.60,12/1/03,,$10.40,16.0,
2,keepbusy_cross(SELL),Sell to Close,-16.0,$62.65,3/23/04,$32.80,$32.80,0.0,
3,keepbusy_cross(Buy),Buy to Open,15.0,$64.18,10/29/04,,$33.70,15.0,
4,keepbusy_cross(SELL),Sell to Close,-15.0,$67.80,3/21/05,$54.34,$87.14,0.0,
5,keepbusy_cross(Buy),Buy to Open,13.0,$76.60,4/21/06,,$86.23,13.0,
6,keepbusy_cross(SELL),Sell to Close,-13.0,$74.86,5/16/06,($22.58),$64.56,0.0,
7,keepbusy_cross(Buy),Buy to Open,11.0,$89.49,7/13/07,,$67.97,11.0,
8,keepbusy_cross(SELL),Sell to Close,-11.0,$86.31,7/27/07,($34.97),$29.59,0.0,
9,keepbusy_cross(Buy),Buy to Open,11.0,$87.04,1/7/13,,$26.51,11.0,
10,keepbusy_cross(SELL),Sell to Close,-11.0,$93.98,6/25/13,$76.35,$105.94,0.0,
11,keepbusy_cross(Buy),Buy to Open,4.0,$231.94,3/31/23,,$119.82,4.0,
12,keepbusy_cross(SELL),Sell to Close,-4.0,$250.46,9/22/23,$74.08,$180.02,0.0,
