Symbol: IXJ Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,44.0,$22.33,11/14/03,,$25.96,44.0,
2,keepbusy_cross(SELL),Sell to Close,-44.0,$23.43,3/12/04,$48.69,$48.69,0.0,
3,keepbusy_cross(Buy),Buy to Open,40.0,$24.60,4/8/05,,$45.69,40.0,
4,keepbusy_cross(SELL),Sell to Close,-40.0,$24.88,7/5/05,$11.27,$59.96,0.0,
5,keepbusy_cross(Buy),Buy to Open,37.0,$26.87,3/10/06,,$64.03,37.0,
6,keepbusy_cross(SELL),Sell to Close,-37.0,$26.59,4/10/06,($10.35),$49.61,0.0,
7,keepbusy_cross(Buy),Buy to Open,37.0,$26.37,2/4/11,,$50.54,37.0,
8,keepbusy_cross(SELL),Sell to Close,-37.0,$25.81,3/16/11,($20.72),$28.89,0.0,
9,keepbusy_cross(Buy),Buy to Open,36.0,$27.37,12/2/11,,$21.69,36.0,
10,keepbusy_cross(SELL),Sell to Close,-36.0,$29.20,5/16/12,$65.97,$94.86,0.0,
11,keepbusy_cross(Buy),Buy to Open,11.0,$86.19,8/11/23,,$97.83,11.0,
12,keepbusy_cross(SELL),Sell to Close,-11.0,$84.91,8/21/23,($14.08),$80.78,0.0,
13,keepbusy_cross(Buy),Buy to Open,10.0,$94.24,7/12/24,,$87.78,10.0,
14,keepbusy_cross(SELL),Sell to Close,-10.0,$95.80,10/23/24,$15.60,$96.38,0.0,
