Symbol: MKC Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,175.0,$5.69,6/3/96,,($21.88),175.0,
2,keepbusy_cross(SELL),Sell to Close,-175.0,$5.60,6/4/96,($15.94),($15.94),0.0,
3,keepbusy_cross(Buy),Buy to Open,53.0,$18.56,11/10/06,,($3.75),53.0,
4,keepbusy_cross(SELL),Sell to Close,-53.0,$18.79,1/9/07,$12.42,($3.53),0.0,
5,keepbusy_cross(Buy),Buy to Open,53.0,$18.82,11/16/07,,$6.81,53.0,
6,keepbusy_cross(SELL),Sell to Close,-53.0,$18.25,1/16/08,($30.10),($33.62),0.0,
7,keepbusy_cross(Buy),Buy to Open,25.0,$39.56,6/19/15,,($32.00),25.0,
8,keepbusy_cross(SELL),Sell to Close,-25.0,$38.40,8/25/15,($28.88),($62.50),0.0,
9,keepbusy_cross(Buy),Buy to Open,23.0,$43.35,12/28/15,,($56.86),23.0,
10,keepbusy_cross(SELL),Sell to Close,-23.0,$41.64,1/8/16,($39.37),($101.87),0.0,
11,keepbusy_cross(Buy),Buy to Open,12.0,$81.01,3/31/23,,($75.47),12.0,
12,keepbusy_cross(SELL),Sell to Close,-12.0,$83.64,7/11/23,$31.61,($70.26),0.0,
