Symbol: NDSN Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,67.0,$14.75,12/23/94,,$8.38,67.0,
2,keepbusy_cross(SELL),Sell to Close,-67.0,$14.35,1/5/95,($27.09),($27.09),0.0,
3,keepbusy_cross(Buy),Buy to Open,52.0,$19.12,2/4/05,,($20.59),52.0,
4,keepbusy_cross(SELL),Sell to Close,-52.0,$19.07,3/17/05,($2.86),($29.95),0.0,
5,keepbusy_cross(Buy),Buy to Open,40.0,$24.99,9/21/07,,($10.35),40.0,
6,keepbusy_cross(SELL),Sell to Close,-40.0,$24.56,9/25/07,($17.16),($47.11),0.0,
7,keepbusy_cross(Buy),Buy to Open,22.0,$44.92,1/23/12,,($36.55),22.0,
8,keepbusy_cross(SELL),Sell to Close,-22.0,$50.37,5/18/12,$119.89,$72.78,0.0,
9,keepbusy_cross(Buy),Buy to Open,13.0,$73.78,4/21/14,,$72.00,13.0,
10,keepbusy_cross(SELL),Sell to Close,-13.0,$76.26,8/1/14,$32.18,$104.97,0.0,
11,keepbusy_cross(Buy),Buy to Open,12.0,$78.13,3/20/15,,$106.53,12.0,
12,keepbusy_cross(SELL),Sell to Close,-12.0,$76.53,3/26/15,($19.17),$85.79,0.0,
