Symbol: SJM Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,24.0,$40.25,8/29/03,,$5.52,24.0,
2,keepbusy_cross(SELL),Sell to Close,-24.0,$49.44,5/17/04,$220.62,$220.62,0.0,
3,keepbusy_cross(Buy),Buy to Open,19.0,$50.11,5/13/05,,$224.23,19.0,
4,keepbusy_cross(SELL),Sell to Close,-19.0,$49.51,6/20/05,($11.46),$209.16,0.0,
5,keepbusy_cross(Buy),Buy to Open,16.0,$62.04,10/8/10,,$206.92,16.0,
6,keepbusy_cross(SELL),Sell to Close,-16.0,$61.32,11/19/10,($11.48),$197.69,0.0,
7,keepbusy_cross(Buy),Buy to Open,13.0,$76.15,12/9/11,,$214.20,13.0,
8,keepbusy_cross(SELL),Sell to Close,-13.0,$72.23,2/17/12,($50.96),$146.73,0.0,
9,keepbusy_cross(Buy),Buy to Open,9.0,$110.92,11/9/18,,$164.37,9.0,
10,keepbusy_cross(SELL),Sell to Close,-9.0,$108.50,11/27/18,($21.75),$124.98,0.0,
11,keepbusy_cross(Buy),Buy to Open,9.0,$110.26,4/3/20,,$143.61,9.0,
12,keepbusy_cross(SELL),Sell to Close,-9.0,$109.75,5/21/20,($4.58),$120.40,0.0,
