Symbol: XLU Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,41.0,$23.95,7/30/04,,$6.97,41.0,
2,keepbusy_cross(SELL),Sell to Close,-41.0,$28.86,5/16/05,$201.43,$201.43,0.0,
3,keepbusy_cross(Buy),Buy to Open,24.0,$40.58,10/5/07,,$209.11,24.0,
4,keepbusy_cross(SELL),Sell to Close,-24.0,$39.78,10/22/07,($19.17),$182.26,0.0,
5,keepbusy_cross(Buy),Buy to Open,29.0,$33.48,7/1/11,,$193.86,29.0,
6,keepbusy_cross(SELL),Sell to Close,-29.0,$32.90,8/3/11,($16.88),$165.38,0.0,
7,keepbusy_cross(Buy),Buy to Open,25.0,$38.78,1/31/14,,$173.38,25.0,
8,keepbusy_cross(SELL),Sell to Close,-25.0,$42.28,7/31/14,$87.48,$252.87,0.0,
9,keepbusy_cross(Buy),Buy to Open,23.0,$43.47,12/28/15,,$254.71,23.0,
10,keepbusy_cross(SELL),Sell to Close,-23.0,$43.21,12/29/15,($5.98),$246.89,0.0,
11,keepbusy_cross(Buy),Buy to Open,18.0,$54.79,11/9/18,,$248.33,18.0,
12,keepbusy_cross(SELL),Sell to Close,-18.0,$54.07,12/21/18,($12.88),$234.00,0.0,
13,keepbusy_cross(Buy),Buy to Open,13.0,$74.21,5/27/22,,$249.08,13.0,
14,keepbusy_cross(SELL),Sell to Close,-13.0,$71.18,6/13/22,($39.39),$194.61,0.0,
15,keepbusy_cross(Buy),Buy to Open,16.0,$61.96,2/26/24,,$175.09,16.0,
16,keepbusy_cross(SELL),Sell to Close,-16.0,$61.45,2/27/24,($8.16),$186.45,0.0,
